#,都道府県ID,都道府県,所在地,マンション名,管理組合名,管理組合設立予定年月,組合ホームページ,敷地面積,敷地権利形態,建築面積 ／ 延べ面積,専有部分の構成,専有部分の合計床面積,建物構造／階数,新築年月日,集会室,管理事務室,昇降機,敷地内駐車場,自転車／バイク置場等,ブロードバンド対応,TV共同視聴設備,防犯カメラ,オートロック,宅配ロッカー,地震対策,断熱対策,バリアフリー,住宅性能評価書（設計時）,住宅性能評価書（建設時）,既存住宅性能評価書,売主,設計者,工事管理者,施工業者
333,17,石川県,石川県金沢市泉本町7丁目3番地1,ディークラディア・ウェリス泉本町,,2008年3月,http://www.daiwahouse.co.jp/mansion/,2940.91 ㎡,所有権,618.09 ㎡ ／ 6103.35 ㎡,住宅：５５ 戸 ／ 非住宅：－,住宅： 4786.24 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１４階,2008年2月29日,あり,あり,１基,平置式：78台,自転車：８２台／バイク：４台,VDSL方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社、エヌ・ティ・ティ都市開発株式会社,（株）ＮＴＴファシリティーズ一級建築士事務所,（株）ＮＴＴファシリティーズ一級建築士事務所,（株）淺沼組,
334,17,石川県,石川県金沢市駅西本町1丁目,ディークラディア駅西本町,,2008年6月,http://www.daiwahouse.co.jp/mansion/,1084.4 ㎡,所有権,681.15 ㎡ ／ 7608.65 ㎡,住宅：６５ 戸 ／ 非住宅：－,住宅： 5252.13 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１４階,2008年5月16日,なし,あり,２基,平置式：8台、機械式：72台,自転車：６５台／バイク：２台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,(株)大屋設計,(株)大屋設計,真柄建設(株),
335,17,石川県,石川県金沢市彦三町1-9-5,ライオンズマンション彦三町,ライオンズマンション彦三町管理組合 らいおんずまんしょんひこそまちかんりくみあい,管理組合の自己紹介を見る,－,1757.81 ㎡,所有権,874.6 ㎡ ／ 3438.62 ㎡,住宅：３２ 戸 ／ 非住宅：－,住宅： 2940.54 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上７階,1987年11月18日,なし,あり,１基,平置式：９台,自転車：３２台,FTTH方式、CATV方式,CATV,あり,あり,なし,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,大京観光株式会社,株式会社白井設計,株式会社白井設計,大成建設株式会社真柄建設株式会社共同企業体
336,20,長野県,長野県木曽郡木曽町日義4911-1,ユニテック木曽駒,ユニテック木曽駒管理組合法人 ゆにてっくきそこまかんりくみあいほうじん,－,－,3766.78 ㎡,所有権,1205.1 ㎡ ／ 9239.83 ㎡,住宅：８８ 戸 ／ 非住宅：－,住宅： 7188.62 ㎡ ／ 非住宅：－ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上１０階,1989年6月30日,なし,あり,１基,平置式：５３台,－,CATV方式,CATV、BS、地上波デジタル,－,－,－,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,株式会社ユニテック,株式会社アステック建築研究所,株式会社大林組,株式会社大林組
337,20,長野県,長野県千曲市上山田温泉三丁目50番1号,ラポー千曲,ラポー千曲管理組合 らぽーちくまかんりくみあい,－,－,8241.87 ㎡,所有権,1631.39 ㎡ ／ 14548.08 ㎡,住宅：１３２ 戸 ／ 非住宅：－,住宅： 10034.07 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１３階,1990年11月18日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
338,22,静岡県,静岡県静岡市葵区与一5丁目23番,よいち住宅団地,よいち住宅団地管理組合 よいちじゅうたくだんちかんりくみあい,－,－,2125.66 ㎡,所有権,－ ／ －,５棟 － ／ 非住宅：－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,棟別建築概要を見る,,,,,,,
339,22,静岡県,静岡県藤枝市稲川1-1-22,エンブル・リバーガーデン藤枝,エンブル・リバーガーデン藤枝管理組合 えんぶる・りばーがーでんふじえだかんりくみあい,－,－,2303.98 ㎡,所有権,762.38 ㎡ ／ 5534.04 ㎡,住宅：６１ 戸 ／ 非住宅：－,住宅： 4931.73 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１０階,2005年8月7日,あり,あり,２基,平置式：６２台,自転車：６１台,VDSL方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,－,－,－,ヨシコン株式会社,ヨシコン㈱一級建築士事務所,ヨシコン㈱一級建築士事務所,㈱淺沼組 名古屋支店
340,22,静岡県,静岡県焼津市本町四丁目10番25号,エンブルマーレ焼津,,2011年2月,http://www.yoshicon.co.jp/,1696.77 ㎡,所有権、貸借権,533.91 ㎡ ／ 3960.82 ㎡,住宅：４３ 戸 ／ 非住宅：－,住宅： 3407.26 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１１階,2011年1月21日,なし,あり,１基,平置式：43台,自転車：４３台／バイク：４台,FTTH方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,ヨシコン株式会社,意匠：ヨシコン株式会社、構造：株式会社ヒラテ技研,ヨシコン株式会社,日本国土開発株式会社,
341,22,静岡県,静岡県伊東市岡1382-1,クリオ伊東壱番館,クリオ伊東壱番館管理組合 くりおいとういちばんかんかんりくみあい,管理組合の自己紹介を見る,－,11657.34 ㎡,所有権,1688.9 ㎡ ／ 15529.95 ㎡,住宅：１８８ 戸 ／ 非住宅：－,住宅： 13391.97 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１０階 、地下２階,1993年6月8日,あり,あり,２基,平置式：３８台、機械式：９２台,なし,なし,BS,あり,あり,なし,－,－,階段の手摺： － 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,明和地所株式会社,株式会社ＯＨＢＡ建築設計事務所,－,五洋建設株式会社 横浜支店
342,22,静岡県,静岡県伊豆の国市長岡1022-29,コンフォールタワー伊豆長岡,コンフォールタワー伊豆長岡管理組合法人 こんふぉーるたわーいずながおかかんりくみあいほうじん,管理組合の自己紹介を見る,－,1645.22 ㎡,所有権,526.04 ㎡ ／ 5180.54 ㎡,住宅：４２ 戸 ／ 非住宅：０ 区画,住宅： 3495.62 ㎡ ／ 非住宅： 0 ㎡,鉄骨鉄筋コンクリート／ 地上１１階,1991年11月30日,あり,あり,１基,平置式：３９台,自転車：６台,なし,CS、BS、地上波デジタル,あり,あり,あり,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり 、その他：あり,－,あり,－,株式会社パスコ,有限会社望月孝次工務所,有限会社望月孝次工務所,株式会社熊谷組横浜支店
343,22,静岡県,静岡県静岡市駿河区曲金,ディークラディア曲金,,2008年3月,http://www.daiwahouse.co.jp/mansion/,1951.99 ㎡,所有権,678.13 ㎡ ／ 4331.84 ㎡,住宅：４４ 戸 ／ 非住宅：－,住宅： 3699.37 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上９階,2008年2月29日,あり,あり,１基,平置式：10台、機械式：34台,自転車：９７台／バイク：６台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,－,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,（株）アーキプラン一級建築士事務所,（株）アーキプラン一級建築士事務所,村本建設（株）,
344,22,静岡県,静岡県浜松市東区宮竹町,ディークラディア浜松宮竹,,2008年3月,http://www.daiwahouse.co.jp/mansion/,4798.96 ㎡,所有権,1501.73 ㎡ ／ 6628.75 ㎡,住宅：７０ 戸 ／ 非住宅：－,住宅： 5526.59 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上８階,2008年2月28日,あり,あり,２基,平置式：59台、機械式：11台,自転車：１００台／バイク：７台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,－,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,（株）永井・多田建築事務所,（株）永井・多田建築事務所,木内建設（株）,
345,22,静岡県,静岡県静岡市駿河区豊田1丁目,ディークラディア豊田,,2008年6月,http://www.daiwahouse.co.jp/mansion/,1529.26 ㎡,所有権,405.36 ㎡ ／ 3255.49 ㎡,住宅：３１ 戸 ／ 非住宅：－,住宅： 2885.31 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１１階,2008年5月20日,なし,あり,１基,平置式：12台、機械式：20台,自転車：４２台／バイク：３台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,－,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,（株）アーキプラン一級建築士事務所,（株）アーキプラン一級建築士事務所,（株）NIPPOコーポレーション,
346,22,静岡県,静岡県静岡市駿河区豊田一丁目,ディークラディア豊田Ⅱ,,2008年12月,http://www.daiwahouse.co.jp/mansion/,1482.9 ㎡,所有権,540.27 ㎡ ／ 3548.6 ㎡,住宅：３１ 戸 ／ 非住宅：－,住宅： 2755.91 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１０階,2008年10月31日,なし,あり,１基,平置式：15台、機械式：17台,自転車：６２台／バイク：１０台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,－,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり 、その他：あり,あり,あり,大和ハウス工業株式会社,(株)永井・多田建築事務所,(株)永井・多田建築事務所,(株)淺沼組,
